project,project_loc,unit,province,country,region,status,fuel_type,capacity,technology,start_year,owner,parent,lat,lng,url
Lekki Project power station,,CC 1,Lagos,Nigeria,Africa,announced,"natural gas, fuel oil",500.0,CC,2026,Caleb-Inland Energy Nigeria Ltd,Caleb Energy Inc; Inland Energy Inc,6.4698,3.5852,https://www.gem.wiki/Lekki_Project_power_station
Lekki Project power station,,CC 2,Lagos,Nigeria,Africa,announced,"natural gas, fuel oil",500.0,CC,2026,Caleb-Inland Energy Nigeria Ltd,Caleb Energy Inc; Inland Energy Inc,6.4698,3.5852,https://www.gem.wiki/Lekki_Project_power_station
Lekki Project power station,,CC 4,Lagos,Nigeria,Africa,announced,"natural gas, fuel oil",500.0,CC,2026,Caleb-Inland Energy Nigeria Ltd,Caleb Energy Inc; Inland Energy Inc,6.4698,3.5852,https://www.gem.wiki/Lekki_Project_power_station
Lekki Refinery power station,,1,Lagos,Nigeria,Africa,announced,natural gas,570.0,CC,2025,Dangote Oil Refinery Co,Dangote Group,6.4698,3.5852,https://www.gem.wiki/Lekki_Refinery_power_station
MBH power station,,1,Lagos,Nigeria,Africa,announced,natural gas,150.0,GT,2030,MBH Power Ltd,Tolaram Group,6.524442188,3.323740117,https://www.gem.wiki/MBH_power_station
MBH power station,,2,Lagos,Nigeria,Africa,announced,natural gas,150.0,GT,2030,MBH Power Ltd,Tolaram Group,6.524442188,3.323740117,https://www.gem.wiki/MBH_power_station
Maiduguri power plant,,1,Borno,Nigeria,Africa,construction,natural gas,50.0,GT,2022,NNPC Ltd,NNPC Ltd,11.833,13.15,https://www.gem.wiki/Maiduguri_power_plant
Oando Kwale power station,,1,Delta,Nigeria,Africa,operating,natural gas,480.0,CC,2005,Nigerian Agip Oil Co Ltd,NNPC Ltd [60.00%]; Eni SpA [20.00%]; Oando [20.00%],5.709692,6.575917,https://www.gem.wiki/Oando_Kwale_power_station
Oando Kwale power station,,2,Delta,Nigeria,Africa,construction,natural gas,450.0,CC,2022,Nigerian Agip Oil Co Ltd,NNPC Ltd [60.00%]; Eni SpA [20.00%]; Oando [20.00%],5.709692,6.575917,https://www.gem.wiki/Oando_Kwale_power_station
Oats power station,,1,,Nigeria,Africa,announced,natural gas,100.0,GT,2028,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,2,,Nigeria,Africa,announced,natural gas,100.0,GT,2028,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,3,,Nigeria,Africa,announced,natural gas,100.0,GT,2028,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,4,,Nigeria,Africa,announced,natural gas,100.0,GT,2029,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,5,,Nigeria,Africa,announced,natural gas,100.0,GT,2029,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,6,,Nigeria,Africa,announced,natural gas,100.0,GT,2030,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oats power station,,7,,Nigeria,Africa,announced,natural gas,100.0,GT,2030,,,6.49401833,3.436764462,https://www.gem.wiki/Oats_power_station
Oghareki power station,,1,Delta,Nigeria,Africa,announced,"natural gas, diesel",100.0,GT,2032,Delta State Ministry of Power,Delta State Ministry of Power,5.948576,5.72064,https://www.gem.wiki/Oghareki_power_station
Oghareki power station,,2,Delta,Nigeria,Africa,announced,"natural gas, diesel",100.0,GT,2032,Delta State Ministry of Power,Delta State Ministry of Power,5.948576,5.72064,https://www.gem.wiki/Oghareki_power_station
Oghareki power station,,3,Delta,Nigeria,Africa,announced,"natural gas, diesel",100.0,GT,2032,Delta State Ministry of Power,Delta State Ministry of Power,5.948576,5.72064,https://www.gem.wiki/Oghareki_power_station
Oghareki power station,,4,Delta,Nigeria,Africa,announced,"natural gas, diesel",100.0,GT,2032,Delta State Ministry of Power,Delta State Ministry of Power,5.948576,5.72064,https://www.gem.wiki/Oghareki_power_station
Oghareki power station,,5,Delta,Nigeria,Africa,announced,"natural gas, diesel",100.0,GT,2032,Delta State Ministry of Power,Delta State Ministry of Power,5.948576,5.72064,https://www.gem.wiki/Oghareki_power_station
Okija power station,,1-1a,Anambra,Nigeria,Africa,announced,natural gas,495.0,GT,2022,Century Power Generation Ltd,Obijackson Group,5.9147,6.8405,https://www.gem.wiki/Okija_power_station
Okija power station,,1-1b,Anambra,Nigeria,Africa,shelved,waste heat from natural gas,255.0,ST,,Century Power Generation Ltd,Obijackson Group,5.9147,6.8405,https://www.gem.wiki/Okija_power_station
Okija power station,,2-1,Anambra,Nigeria,Africa,shelved,natural gas,750.0,CC,,Century Power Generation Ltd,Obijackson Group,5.9147,6.8405,https://www.gem.wiki/Okija_power_station
Olorunsogo II power station,,1,Oyo,Nigeria,Africa,operating,natural gas,377.0,CC,2015,Olorunsogo Generation Co Ltd,Niger Delta Power Holding Co,6.885316,3.316268,https://www.gem.wiki/Olorunsogo_II_power_station
Olorunsogo II power station,,2,Oyo,Nigeria,Africa,operating,natural gas,377.0,CC,2015,Olorunsogo Generation Co Ltd,Niger Delta Power Holding Co,6.885316,3.316268,https://www.gem.wiki/Olorunsogo_II_power_station
Omoku-II power station,,1,Rivers,Nigeria,Africa,operating,natural gas,113.0,GT,2018,Omoku Generation Co Ltd,Niger Delta Power Holding Co,5.385019,6.664967,https://www.gem.wiki/Omoku-II_power_station
Omoku-II power station,,2,Rivers,Nigeria,Africa,operating,natural gas,113.0,GT,2019,Omoku Generation Co Ltd,Niger Delta Power Holding Co,5.385019,6.664967,https://www.gem.wiki/Omoku-II_power_station
Omotosho II power station,,1,Ondo,Nigeria,Africa,operating,natural gas,128.0,GT,2012,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Omotosho II power station,,2,Ondo,Nigeria,Africa,operating,natural gas,128.0,GT,2012,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Omotosho II power station,,2-1,Ondo,Nigeria,Africa,announced,waste heat from natural gas,127.0,ST,2027,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Omotosho II power station,,2-2,Ondo,Nigeria,Africa,announced,waste heat from natural gas,127.0,ST,2027,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Omotosho II power station,,3,Ondo,Nigeria,Africa,operating,natural gas,128.0,GT,2012,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Omotosho II power station,,4,Ondo,Nigeria,Africa,operating,natural gas,128.0,GT,2012,Omotosho Generation Co Ltd,Niger Delta Power Holding Co,6.732447,4.710922,https://www.gem.wiki/Omotosho_II_power_station
Proton Delta Sunrise power station,,1-1,Delta,Nigeria,Africa,cancelled,natural gas,50.0,GT,,Proton Energy Ltd,Proton Energy Ltd,5.925611,5.640089,https://www.gem.wiki/Proton_Delta_Sunrise_power_station
Proton Delta Sunrise power station,,1-2,Delta,Nigeria,Africa,cancelled,natural gas,50.0,GT,,Proton Energy Ltd,Proton Energy Ltd,5.925611,5.640089,https://www.gem.wiki/Proton_Delta_Sunrise_power_station
Proton Delta Sunrise power station,,1-3,Delta,Nigeria,Africa,cancelled,natural gas,50.0,GT,,Proton Energy Ltd,Proton Energy Ltd,5.925611,5.640089,https://www.gem.wiki/Proton_Delta_Sunrise_power_station
Proton Delta Sunrise power station,,2-1,Delta,Nigeria,Africa,cancelled,natural gas,350.0,CC,,Proton Energy Ltd,Proton Energy Ltd,5.925611,5.640089,https://www.gem.wiki/Proton_Delta_Sunrise_power_station
Qua Iboe power plant,,1,Akwa Ibom,Nigeria,Africa,announced,natural gas,540.0,CC,2025,Qua Iboe Power Plant Ltd. (QIPPL),Blackstone Inc; CDC Group PLC; Norfund,4.548651,8.009532,https://www.gem.wiki/Qua_Iboe_Power_Plant
Sagamu power station,,1-1a,Ogun,Nigeria,Africa,cancelled,natural gas,250.0,GT,,Sagamu Independent Power Plant Ltd,Sagamu Independent Power Plant Ltd,6.8322,3.6319,https://www.gem.wiki/Sagamu_power_station
Sagamu power station,,1-1b,Ogun,Nigeria,Africa,cancelled,waste heat from natural gas,150.0,ST,,Sagamu Independent Power Plant Ltd,Sagamu Independent Power Plant Ltd,6.8322,3.6319,https://www.gem.wiki/Sagamu_power_station
Sapele II power station,,2-1,Delta,Nigeria,Africa,operating,natural gas,113.0,GT,2012,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele II power station,,2-2,Delta,Nigeria,Africa,operating,natural gas,113.0,GT,2012,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele II power station,,2-3,Delta,Nigeria,Africa,operating,natural gas,113.0,GT,2012,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele II power station,,2-4,Delta,Nigeria,Africa,operating,natural gas,113.0,GT,2012,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele II power station,,3-1,Delta,Nigeria,Africa,announced,natural gas,151.0,GT,2028,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele II power station,,3-2,Delta,Nigeria,Africa,announced,natural gas,151.0,GT,2028,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
