cell_id,period,grid_lat,grid_lon,event_count,fatalities_best,fatalities_low,fatalities_high,first_year,latest_year,state_based_events,non_state_events,one_sided_events,source_states,best_source_precision,least_source_precision
ucdp-05deg-11.25-9.25,2016-2025,11.25,9.25,2,4,4,4,2019,2024,0,2,0,Jigawa,2,3
ucdp-05deg-11.25-10.25,2016-2025,11.25,10.25,1,9,9,10,2020,2020,0,1,0,Bauchi,3,3
ucdp-05deg-11.25-11.25,2016-2025,11.25,11.25,3,5,5,5,2024,2025,3,0,0,Gombe; Yobe,1,2
ucdp-05deg-11.25-11.75,2016-2025,11.25,11.75,35,209,200,270,2016,2025,28,2,5,Yobe,1,5
ucdp-05deg-11.25-12.25,2016-2025,11.25,12.25,122,999,823,1201,2016,2025,117,2,3,Borno; Yobe,1,5
ucdp-05deg-11.25-12.75,2016-2025,11.25,12.75,149,877,809,1040,2016,2025,106,9,34,Borno,1,5
ucdp-05deg-11.25-13.25,2016-2025,11.25,13.25,130,1447,1214,1692,2016,2025,117,7,6,Borno,1,5
ucdp-05deg-11.25-13.75,2016-2025,11.25,13.75,385,2274,2020,2689,2016,2025,343,6,36,Borno,1,5
ucdp-05deg-11.25-14.25,2016-2025,11.25,14.25,80,486,459,588,2016,2025,72,0,8,Borno,1,5
ucdp-05deg-11.75-3.75,2016-2025,11.75,3.75,1,1,1,2,2025,2025,1,0,0,Kebbi,1,1
ucdp-05deg-11.75-4.25,2016-2025,11.75,4.25,1,2,2,2,2023,2023,0,1,0,Kebbi,3,3
ucdp-05deg-11.75-6.25,2016-2025,11.75,6.25,3,35,35,35,2018,2018,0,0,3,Zamfara,3,3
ucdp-05deg-11.75-6.75,2016-2025,11.75,6.75,4,7,7,7,2020,2025,0,1,3,Zamfara,1,3
ucdp-05deg-11.75-7.25,2016-2025,11.75,7.25,4,31,31,34,2020,2025,1,0,3,Katsina,1,3
ucdp-05deg-11.75-7.75,2016-2025,11.75,7.75,3,38,38,38,2020,2025,0,1,2,Katsina,1,3
ucdp-05deg-11.75-8.25,2016-2025,11.75,8.25,1,2,2,2,2019,2019,0,1,0,Kano,1,1
